Name,Position,Height
Adam_Donachie,Catcher,74
Paul_Bako,Catcher,74
Ramon_Hernandez,Catcher,72
Kevin_Millar,First_Baseman,72
Chris_Gomez,First_Baseman,73
Brian_Roberts,Second_Baseman,69
Miguel_Tejada,Shortstop,69
Melvin_Mora,Third_Baseman,71
Aubrey_Huff,Third_Baseman,76
Adam_Stern,Outfielder,71
Jeff_Fiorentino,Outfielder,73
Freddie_Bynum,Outfielder,73
Nick_Markakis,Outfielder,74
Brandon_Fahey,Outfielder,74
Corey_Patterson,Outfielder,69
Jay_Payton,Outfielder,70
Jay_Gibbons,Designated_Hitter,72
Erik_Bedard,Starting_Pitcher,73
Hayden_Penn,Starting_Pitcher,75
Adam_Loewen,Starting_Pitcher,78
Daniel_Cabrera,Starting_Pitcher,79
Steve_Trachsel,Starting_Pitcher,76
Jaret_Wright,Starting_Pitcher,74
Kris_Benson,Starting_Pitcher,76
Scott_Williamson,Relief_Pitcher,72
John_Parrish,Relief_Pitcher,71
Danys_Baez,Relief_Pitcher,75
Chad_Bradford,Relief_Pitcher,77
Jamie_Walker,Relief_Pitcher,74
Brian_Burres,Relief_Pitcher,73
Kurt_Birkins,Relief_Pitcher,74
James_Hoey,Relief_Pitcher,78
Sendy_Rleal,Relief_Pitcher,73
Chris_Ray,Relief_Pitcher,75
Jeremy_Guthrie,Relief_Pitcher,73
A.J._Pierzynski,Catcher,75
Toby_Hall,Catcher,75
Paul_Konerko,First_Baseman,74
Tadahito_Iguchi,Second_Baseman,69
Juan_Uribe,Shortstop,71
Alex_Cintron,Shortstop,74
Joe_Crede,Third_Baseman,73
Josh_Fields,Third_Baseman,73
Ryan_Sweeney,Outfielder,76
Brian_N._Anderson,Outfielder,74
Luis_Terrero,Outfielder,74
Pablo_Ozuna,Outfielder,70
Scott_Podsednik,Outfielder,72
Jermaine_Dye,Outfielder,77
Darin_Erstad,Outfielder,74
Rob_Mackowiak,Outfielder,70
Jim_Thome,Designated_Hitter,76
Jerry_Owens,Designated_Hitter,75
Charlie_Haeger,Starting_Pitcher,73
Heath_Phillips,Starting_Pitcher,75
Gavin_Floyd,Starting_Pitcher,76
Jose_Contreras,Starting_Pitcher,76
Jon_Garland,Starting_Pitcher,78
Javier_Vazquez,Starting_Pitcher,74
Mark_Buehrle,Starting_Pitcher,74
Mike_MacDougal,Relief_Pitcher,76
David_Aardsma,Relief_Pitcher,77
Andrew_Sisco,Relief_Pitcher,81
Matt_Thornton,Relief_Pitcher,78
Bobby_Jenks,Relief_Pitcher,75
Boone_Logan,Relief_Pitcher,77
Sean_Tracey,Relief_Pitcher,75
Nick_Masset,Relief_Pitcher,76
Jose_Molina,Catcher,74
Jeff_Mathis,Catcher,72
Mike_Napoli,Catcher,72
Casey_Kotchman,First_Baseman,75
Kendry_Morales,First_Baseman,73
Shea_Hillenbrand,First_Baseman,73
Robb_Quinlan,First_Baseman,73
Howie_Kendrick,First_Baseman,70
Orlando_Cabrera,Shortstop,70
Erick_Aybar,Shortstop,70
Dallas_McPherson,Third_Baseman,76
Maicer_Izturis,Third_Baseman,68
Reggie_Willits,Outfielder,71
Tommy_Murphy,Outfielder,72
Terry_Evans,Outfielder,75
Gary_Matthews_Jr.,Outfielder,75
Garret_Anderson,Outfielder,75
Vladimir_Guerrero,Outfielder,75
Chone_Figgins,Outfielder,68
Juan_Rivera,Outfielder,74
John_Lackey,Starting_Pitcher,78
Bartolo_Colon,Starting_Pitcher,71
Kelvim_Escobar,Starting_Pitcher,73
Dustin_Moseley,Starting_Pitcher,76
Ervin_Santana,Starting_Pitcher,74
Joe_Saunders,Starting_Pitcher,74
Jered_Weaver,Starting_Pitcher,79
Chris_Resop,Relief_Pitcher,75
Phil_Seibel,Relief_Pitcher,73
Justin_Speier,Relief_Pitcher,76
Darren_Oliver,Relief_Pitcher,74
Hector_Carrasco,Relief_Pitcher,74
Scot_Shields,Relief_Pitcher,73
Francisco_Rodriguez,Relief_Pitcher,72
Greg_Jones,Relief_Pitcher,74
Doug_Mirabelli,Catcher,73
Jason_Varitek,Catcher,74
George_Kottaras,Catcher,72
Kevin_Youkilis,First_Baseman,73
Dustin_Pedroia,Second_Baseman,69
Alex_Cora,Shortstop,72
Julio_Lugo,Shortstop,73
Mike_Lowell,Third_Baseman,75
Wily_Mo_Pe?a,Outfielder,75
J.D._Drew,Outfielder,73
Manny_Ramirez,Outfielder,72
Brandon_Moss,Outfielder,72
David_Murphy,Outfielder,76
Eric_Hinske,Outfielder,74
Coco_Crisp,Outfielder,72
David_Ortiz,Designated_Hitter,76
Curt_Schilling,Starting_Pitcher,77
Tim_Wakefield,Starting_Pitcher,74
Josh_Beckett,Starting_Pitcher,77
Matt_Clement,Starting_Pitcher,75
Jonathan_Papelbon,Starting_Pitcher,76
Kyle_Snyder,Starting_Pitcher,80
Devern_Hansack,Starting_Pitcher,74
Jon_Lester,Starting_Pitcher,74
Kason_Gabbard,Starting_Pitcher,75
Craig_Hansen,Relief_Pitcher,78
Hideki_Okajima,Relief_Pitcher,73
Craig_Breslow,Relief_Pitcher,73
Manny_Delcarmen,Relief_Pitcher,74
Brendan_Donnelly,Relief_Pitcher,75
Javier_Lopez,Relief_Pitcher,76
J.C._Romero,Relief_Pitcher,71
Joel_Pineiro,Relief_Pitcher,73
Julian_Tavarez,Relief_Pitcher,74
Mike_Timlin,Relief_Pitcher,76
Nick_DeBarr,Relief_Pitcher,76
Victor_Martinez,Catcher,74
Kelly_Shoppach,Catcher,73
Ryan_Garko,First_Baseman,74
Joe_Inglett,Second_Baseman,70
Josh_Barfield,Second_Baseman,72
Hector_Luna,Second_Baseman,73
Jhonny_Peralta,Shortstop,73
Andy_Marte,Third_Baseman,73
Ben_Francisco,Outfielder,73
Shin-Soo_Choo,Outfielder,71
Franklin_Gutierrez,Outfielder,74
Grady_Sizemore,Outfielder,74
Jason_Michaels,Outfielder,72
Trot_Nixon,Outfielder,74
David_Dellucci,Outfielder,71
Casey_Blake,Outfielder,74
Travis_Hafner,Designated_Hitter,75
Paul_Byrd,Starting_Pitcher,73
Cliff_Lee,Starting_Pitcher,75
Jake_Westbrook,Starting_Pitcher,75
C.C._Sabathia,Starting_Pitcher,79
Jeremy_Sowers,Starting_Pitcher,73
Rafael_Perez,Relief_Pitcher,75
Brian_Slocum,Relief_Pitcher,76
Edward_Mujica,Relief_Pitcher,74
Fernando_Cabrera,Relief_Pitcher,76
Tom_Mastny,Relief_Pitcher,78
Juan_Lara,Relief_Pitcher,74
Fausto_Carmona,Relief_Pitcher,76
Aaron_Fultz,Relief_Pitcher,72
Rafael_Betancourt,Relief_Pitcher,74
Roberto_Hernandez,Relief_Pitcher,76
Joe_Borowski,Relief_Pitcher,74
Matt_Miller,Relief_Pitcher,75
Jason_Davis,Relief_Pitcher,78
Mike_Piazza,Catcher,75
Jason_Kendall,Catcher,72
Adam_Melhuse,Catcher,74
Nick_Swisher,First_Baseman,72
Dan_Johnson,First_Baseman,74
Donald_Murphy,Second_Baseman,70
Mark_Ellis,Second_Baseman,71
Marco_Scutaro,Shortstop,70
Bobby_Crosby,Shortstop,75
Mark_Kiger,Shortstop,71
Antonio_Perez,Third_Baseman,71
Eric_Chavez,Third_Baseman,73
Milton_Bradley,Outfielder,72
Shannon_Stewart,Outfielder,71
Bobby_Kielty,Outfielder,73
Mark_Kotsay,Outfielder,72
Ryan_Goleski,Outfielder,75
Jeremy_Brown,Designated_Hitter,70
Jason_Windsor,Starting_Pitcher,74
David_Shafer,Starting_Pitcher,74
Joe_Blanton,Starting_Pitcher,75
Brad_Halsey,Starting_Pitcher,73
Dan_Haren,Starting_Pitcher,77
Rich_Harden,Starting_Pitcher,73
Joe_Kennedy,Starting_Pitcher,76
Esteban_Loaiza,Starting_Pitcher,75
Alan_Embree,Relief_Pitcher,74
Jay_Witasick,Relief_Pitcher,76
Justin_Duchscherer,Relief_Pitcher,75
Kiko_Calero,Relief_Pitcher,73
Chad_Gaudin,Relief_Pitcher,71
Lenny_DiNardo,Relief_Pitcher,76
Scott_Dunn,Relief_Pitcher,75
Huston_Street,Relief_Pitcher,72
Ron_Flores,Relief_Pitcher,71
Jay_Marshall,Relief_Pitcher,77
Marcus_McBeth,Relief_Pitcher,73
Jorge_Posada,Catcher,74
Wil_Nieves,Catcher,71
Andy_Phillips,First_Baseman,72
Doug_Mientkiewicz,First_Baseman,74
Josh_Phelps,First_Baseman,75
Miguel_Cairo,Second_Baseman,73
Robinson_Cano,Second_Baseman,72
Derek_Jeter,Shortstop,75
Alex_Rodriguez,Third_Baseman,75
Johnny_Damon,Outfielder,74
Bobby_Abreu,Outfielder,72
Hideki_Matsui,Outfielder,74
Melky_Cabrera,Outfielder,71
Kevin_Thompson,Outfielder,70
Jason_Giambi,Designated_Hitter,75
Mike_Mussina,Starting_Pitcher,74
Carl_Pavano,Starting_Pitcher,77
Andy_Pettitte,Starting_Pitcher,77
Darrell_Rasner,Starting_Pitcher,75
Jeff_Karstens,Starting_Pitcher,75
Humberto_Sanchez,Starting_Pitcher,78
Chien-Ming_Wang,Starting_Pitcher,75
Sean_Henn,Relief_Pitcher,76
Scott_Proctor,Relief_Pitcher,73
Brian_Bruney,Relief_Pitcher,75
Chris_Britton,Relief_Pitcher,75
T.J._Beam,Relief_Pitcher,79
Jose_Veras,Relief_Pitcher,77
Kyle_Farnsworth,Relief_Pitcher,76
Luis_Vizcaino,Relief_Pitcher,71
Mike_Myers,Relief_Pitcher,75
Mariano_Rivera,Relief_Pitcher,74
Ivan_Rodriguez,Catcher,69
Vance_Wilson,Catcher,71
Sean_Casey,First_Baseman,76
Chris_Shelton,First_Baseman,72
Omar_Infante,Second_Baseman,72
Placido_Polanco,Second_Baseman,70
Neifi_Perez,Second_Baseman,72
Carlos_Guillen,Shortstop,73
Ramon_Santiago,Shortstop,71
Tony_Giarratano,Shortstop,72
Brandon_Inge,Third_Baseman,71
Craig_Monroe,Outfielder,73
Magglio_Ordo?ez,Outfielder,72
Curtis_Granderson,Outfielder,73
Brent_Clevlen,Outfielder,74
Marcus_Thames,Outfielder,74
Gary_Sheffield,Outfielder,72
Mike_Rabelo,Designated_Hitter,73
Zach_Miner,Starting_Pitcher,75
Jeremy_Bonderman,Starting_Pitcher,74
Nate_Robertson,Starting_Pitcher,74
Justin_Verlander,Starting_Pitcher,77
Virgil_Vasquez,Starting_Pitcher,75
Kenny_Rogers,Starting_Pitcher,73
Mike_Maroth,Starting_Pitcher,72
Fernando_Rodney,Relief_Pitcher,71
Chad_Durbin,Relief_Pitcher,74
Jason_Grilli,Relief_Pitcher,77
Jose_Mesa,Relief_Pitcher,75
Todd_Jones,Relief_Pitcher,75
Joel_Zumaya,Relief_Pitcher,75
Jordan_Tata,Relief_Pitcher,78
Andrew_Miller,Relief_Pitcher,78
Yorman_Bazardo,Relief_Pitcher,74
Wilfredo_Ledezma,Relief_Pitcher,76
Roman_Colon,Relief_Pitcher,78
Edward_Campusano,Relief_Pitcher,76
Rene_Rivera,Catcher,70
Kenji_Johjima,Catcher,72
Richie_Sexson,First_Baseman,80
Ben_Broussard,First_Baseman,74
Jose_Lopez,Second_Baseman,74
Jose_Vidro,Second_Baseman,71
Yuniesky_Betancourt,Shortstop,70
Oswaldo_Navarro,Shortstop,72
Adrian_Beltre,Third_Baseman,71
Raul_Ibanez,Outfielder,74
Jose_Guillen,Outfielder,71
Jeremy_Reed,Outfielder,72
Willie_Bloomquist,Outfielder,71
Adam_Jones,Outfielder,74
Ichiro_Suzuki,Outfielder,69
Mike_Morse,Outfielder,76
Felix_Hernandez,Starting_Pitcher,75
Ryan_Feierabend,Starting_Pitcher,75
Sean_White,Starting_Pitcher,76
Horacio_Ramirez,Starting_Pitcher,73
Cha_Baek,Starting_Pitcher,76
Miguel_Batista,Starting_Pitcher,73
Jeff_Weaver,Starting_Pitcher,77
Jarrod_Washburn,Starting_Pitcher,73
George_Sherrill,Relief_Pitcher,72
Julio_Mateo,Relief_Pitcher,72
J.J._Putz,Relief_Pitcher,77
Chris_Reitsma,Relief_Pitcher,77
Cesar_Jimenez,Relief_Pitcher,71
Eric_O'Flaherty,Relief_Pitcher,74
Jon_Huber,Relief_Pitcher,74
Jake_Woods,Relief_Pitcher,73
Sean_Green,Relief_Pitcher,78
Mark_Lowe,Relief_Pitcher,75
Josh_Paul,Catcher,73
Dioner_Navarro,Catcher,70
Shawn_Riggans,Catcher,74
Ty_Wigginton,First_Baseman,72
Brendan_Harris,Second_Baseman,73
Jorge_Cantu,Second_Baseman,73
Ben_Zobrist,Shortstop,75
B.J._Upton,Third_Baseman,75
Carl_Crawford,Outfielder,74
Rocco_Baldelli,Outfielder,76
Greg_Norton,Outfielder,73
Elijah_Dukes,Outfielder,74
Delmon_Young,Outfielder,75
Jonny_Gomes,Designated_Hitter,73
Edwin_Jackson,Starting_Pitcher,75
Scott_Kazmir,Starting_Pitcher,72
Casey_Fossum,Starting_Pitcher,73
Jae_Seo,Starting_Pitcher,73
J.P._Howell,Starting_Pitcher,72
Tim_Corcoran,Starting_Pitcher,74
Jason_Hammel,Starting_Pitcher,78
James_Shields,Starting_Pitcher,76
Brian_Stokes,Starting_Pitcher,73
Juan_Salas,Relief_Pitcher,74
Jeff_Ridgway,Relief_Pitcher,75
Ruddy_Lugo,Relief_Pitcher,70
Jae-Kuk_Ryu,Relief_Pitcher,75
Chad_Orvella,Relief_Pitcher,71
Dan_Miceli,Relief_Pitcher,72
Seth_McClung,Relief_Pitcher,78
Jon_Switzer,Relief_Pitcher,75
Shawn_Camp,Relief_Pitcher,73
Scott_Dohmann,Relief_Pitcher,73
Jason_LaRue,Catcher,71
John_Buck,Catcher,75
Ryan_Shealy,First_Baseman,77
Ross_Gload,First_Baseman,72
Esteban_German,Second_Baseman,69
Mark_Grudzielanek,Second_Baseman,73
Angel_Sanchez,Second_Baseman,74
Angel_Berroa,Shortstop,72
Andres_Blanco,Shortstop,70
Mark_Teahen,Third_Baseman,75
Joey_Gathright,Outfielder,70
David_DeJesus,Outfielder,72
Shane_Costa,Outfielder,72
Mitch_Maier,Outfielder,74
Reggie_Sanders,Outfielder,73
Emil_Brown,Outfielder,74
Mike_Sweeney,Designated_Hitter,75
John_Bale,Starting_Pitcher,76
Luke_Hudson,Starting_Pitcher,75
Scott_Elarton,Starting_Pitcher,80
Odalis_Perez,Starting_Pitcher,72
Gil_Meche,Starting_Pitcher,75
Neal_Musser,Starting_Pitcher,73
Brian_Bannister,Starting_Pitcher,74
Zack_Greinke,Starting_Pitcher,74
Jorge_De_La_Rosa,Starting_Pitcher,73
Todd_Wellemeyer,Relief_Pitcher,75
Jimmy_Gobble,Relief_Pitcher,75
Joel_Peralta,Relief_Pitcher,71
Ryan_Braun,Relief_Pitcher,73
Joakim_Soria,Relief_Pitcher,75
Ken_Ray,Relief_Pitcher,74
David_Riske,Relief_Pitcher,74
Octavio_Dotel,Relief_Pitcher,72
Joe_Nelson,Relief_Pitcher,74
Gerald_Laird,Catcher,74
Miguel_Ojeda,Catcher,74
Guillermo_Quiroz,Catcher,73
Chris_Stewart,Catcher,76
Mark_Teixeira,First_Baseman,75
Ian_Kinsler,Second_Baseman,72
Joaquin_Arias,Shortstop,73
Michael_Young,Shortstop,73
Hank_Blalock,Third_Baseman,73
Marlon_Byrd,Outfielder,72
Brad_Wilkerson,Outfielder,72
Sammy_Sosa,Outfielder,72
Kenny_Lofton,Outfielder,72
Frank_Catalanotto,Outfielder,71
Nelson_Cruz,Outfielder,75
Jason_Botts,Designated_Hitter,77
Robinson_Tejeda,Starting_Pitcher,75
John_Rheinecker,Starting_Pitcher,74
Edinson_Volquez,Starting_Pitcher,73
A.J._Murray,Starting_Pitcher,75
Brandon_McCarthy,Starting_Pitcher,79
Vicente_Padilla,Starting_Pitcher,74
Kevin_Millwood,Starting_Pitcher,76
John_Koronka,Starting_Pitcher,73
Frank_Francisco,Relief_Pitcher,74
Francisco_Cruceta,Relief_Pitcher,74
Akinori_Otsuka,Relief_Pitcher,72
Eric_Gagne,Relief_Pitcher,74
Ron_Mahay,Relief_Pitcher,74
Joaquin_Benoit,Relief_Pitcher,75
Rick_Bauer,Relief_Pitcher,78
Josh_Rupe,Relief_Pitcher,74
Wes_Littleton,Relief_Pitcher,74
C.J._Wilson,Relief_Pitcher,74
Scott_Feldman,Relief_Pitcher,77
Gregg_Zaun,Catcher,70
Jason_Phillips,Catcher,73
Lyle_Overbay,First_Baseman,74
Russ_Adams,Second_Baseman,73
Aaron_Hill,Second_Baseman,71
Jason_Smith,Second_Baseman,75
John_McDonald,Shortstop,71
Royce_Clayton,Shortstop,72
Troy_Glaus,Third_Baseman,77
John_Hattig,Third_Baseman,74
Reed_Johnson,Outfielder,70
Alex_Rios,Outfielder,77
Vernon_Wells,Outfielder,73
Frank_Thomas,Designated_Hitter,77
Adam_Lind,Designated_Hitter,74
Shaun_Marcum,Starting_Pitcher,72
Casey_Janssen,Starting_Pitcher,76
Gustavo_Chacin,Starting_Pitcher,71
A.J._Burnett,Starting_Pitcher,76
Roy_Halladay,Starting_Pitcher,78
John_Thomson,Starting_Pitcher,75
Tomo_Ohka,Starting_Pitcher,73
B.J._Ryan,Relief_Pitcher,78
Scott_Downs,Relief_Pitcher,74
Brian_Tallet,Relief_Pitcher,79
Matt_Roney,Relief_Pitcher,75
Tracy_Thorpe,Relief_Pitcher,76
Jean_Machi,Relief_Pitcher,72
Brandon_League,Relief_Pitcher,75
Dustin_McGowan,Relief_Pitcher,75
Jason_Frasor,Relief_Pitcher,70
Francisco_Rosario,Relief_Pitcher,72
Davis_Romero,Relief_Pitcher,70
Jeremy_Accardo,Relief_Pitcher,74
Mike_Redmond,Catcher,71
Joe_Mauer,Catcher,76
Chris_Heintz,Catcher,73
Justin_Morneau,First_Baseman,76
Luis_Castillo,Second_Baseman,71
Alexi_Casilla,Second_Baseman,69
Alejandro_Machado,Second_Baseman,72
Jason_Bartlett,Shortstop,72
Luis_Rodriguez,Third_Baseman,69
Jeff_Cirillo,Third_Baseman,73
Nick_Punto,Third_Baseman,69
Jason_Tyner,Outfielder,73
Michael_Cuddyer,Outfielder,74
Torii_Hunter,Outfielder,74
Lew_Ford,Outfielder,72
Jason_Kubel,Outfielder,71
Josh_Rabe,Designated_Hitter,74
Rondell_White,Designated_Hitter,73
Ramon_Ortiz,Starting_Pitcher,72
Johan_Santana,Starting_Pitcher,72
Carlos_Silva,Starting_Pitcher,76
Matt_Garza,Starting_Pitcher,76
Boof_Bonser,Starting_Pitcher,76
Francisco_Liriano,Starting_Pitcher,74
Scott_Baker,Starting_Pitcher,76
Pat_Neshek,Relief_Pitcher,75
Glen_Perkins,Relief_Pitcher,71
Julio_DePaula,Relief_Pitcher,72
Juan_Rincon,Relief_Pitcher,71
Jesse_Crain,Relief_Pitcher,73
Matt_Guerrier,Relief_Pitcher,75
Joe_Nathan,Relief_Pitcher,76
Dennys_Reyes,Relief_Pitcher,75
Brayan_Pe?a,Catcher,71
Brian_McCann,Catcher,75
Craig_Wilson,First_Baseman,74
Chris_Woodward,Second_Baseman,72
Pete_Orr,Second_Baseman,73
Martin_Prado,Second_Baseman,73
Tony_Pe?a,Shortstop,73
Edgar_Renteria,Shortstop,73
Chipper_Jones,Third_Baseman,76
Willy_Aybar,Third_Baseman,72
Jeff_Francoeur,Outfielder,76
Matt_Diaz,Outfielder,73
Kelly_Johnson,Outfielder,73
Andruw_Jones,Outfielder,73
Ryan_Langerhans,Outfielder,75
Scott_Thorman,Outfielder,75
T.J._Bohn,Outfielder,77
Tim_Hudson,Starting_Pitcher,73
Jonathan_Johnson,Starting_Pitcher,72
John_Smoltz,Starting_Pitcher,75
Mike_Hampton,Starting_Pitcher,70
Kyle_Davies,Starting_Pitcher,74
Chuck_James,Starting_Pitcher,72
Phil_Stockman,Relief_Pitcher,80
Macay_McBride,Relief_Pitcher,71
Joey_Devine,Relief_Pitcher,71
Peter_Moylan,Relief_Pitcher,74
Mike_Gonzalez,Relief_Pitcher,74
Lance_Cormier,Relief_Pitcher,73
Blaine_Boyer,Relief_Pitcher,75
Manny_Acosta,Relief_Pitcher,76
Bob_Wickman,Relief_Pitcher,73
